City,Date,Day_of_Week,Latitude,Longitude,Ride_Distance_KM,Ride_Type,Weather,Event,Payment_Type,Available_Drivers,Demand_Level,Surge_Multiplier,Final_Fare,Hour_of_Day,Is_Weekend,Driver_Performance_Score,Driver_XP,Ride_Priority,Fare_Acceptance,Cancellation_Rate,Time_of_Day,Demand_Score,Driver_Availability,Traffic_Delay,Cancellation_Probability,Driver_Trust_Score,Rider_Trust_Score,Leaderboard_Rank
Mumbai,12-10-2024,5,19.10611125,72.84791188,10.65,Premium,Stormy,IPL Match,Card,0.435916,0.904355,1.7,285.26,19,1,81.5,573,84.35,0.975396,0.09,Evening Peak,100,61,25,0.3,100,65,Below Average
Bangalore,15-04-2024,0,12.93313078,77.60265785,13.13,Luxury,Rainy,IPL Match,Cash,0.608527,0.475289,1,208.69,7,0,81.15,667,85.91,0.996485,0.03,Morning Peak,100,73,25,0.3,100,100,Below Average
Bangalore,06-07-2024,5,12.9420401,77.62188519,19.69,Economy,Cloudy,Political Rally,Card,0.534893,0.647199,1.17,343.94,5,1,89.52,715,90.26,0.852736,0.08,Evening Peak,95,82,25,0.1,100,5,Below Average
Hyderabad,16-06-2024,6,17.36812067,78.495979,16.52,Luxury,Clear,Concert,UPI,0.734388,0.773907,1.06,191.52,22,1,85.07,772,87.75,0.861294,0.06,Evening Peak,95,76,25,0.1,100,0,Below Average
Hyderabad,19-08-2024,0,17.38476723,78.50855592,1.05,Economy,Rainy,None,UPI,0.765711,0.401799,1,41.45,18,0,93.96,704,95.17,0.888516,0.02,Evening Peak,85,98,10,0.3,100,100,Below Average
Delhi,19-04-2024,4,28.72313114,77.09361315,4.11,Economy,Cloudy,Political Rally,Cash,0.419702,0.939973,1.78,135.46,5,0,88.05,570,91.03,0.842593,0.02,Night,80,53,15,0.1,100,100,Below Average
Hyderabad,28-01-2025,1,17.43143662,78.48569872,5.12,Premium,Clear,IPL Match,UPI,0.224311,0.923008,2.05,160.06,14,0,95.56,878,96.29,0.964592,0.02,Afternoon,80,33,15,0.2,12.2,85,Below Average
Chennai,16-04-2024,1,13.10837635,80.23190581,6.19,Economy,Stormy,IPL Match,Cash,0.96901,0.52106,1,98.09,7,0,91.27,634,92.39,0.918883,0.05,Afternoon,100,55,15,0.3,100,55,Below Average
Delhi,25-02-2025,1,28.67473967,77.10546043,19.04,Economy,Rainy,Concert,UPI,0.314544,0.857543,1.81,407.97,18,0,89.27,799,89.79,0.916366,0.09,Morning Peak,100,58,25,0.3,100,100,Below Average
Bangalore,04-08-2024,6,12.97424697,77.61473408,10.66,Premium,Cloudy,None,UPI,0.247247,0.535105,1.43,252.51,9,1,92.65,506,93.06,0.798788,0.06,Morning Peak,65,75,10,0.1,100,0,Below Average
Delhi,17-10-2024,3,28.7504909,77.09829789,3.94,Economy,Stormy,Concert,Card,0.63149,0.552736,1,74.4,8,0,80.91,650,86.04,0.811265,0.02,Afternoon,100,73,15,0.3,21.5,100,Below Average
Bangalore,20-11-2024,2,12.94788209,77.60702761,5.09,Economy,Clear,None,Cash,0.699584,0.891865,1.29,134.38,14,0,93.09,779,95.16,0.874391,0,Night,50,59,0,0.1,0,100,Below Average
Delhi,10-04-2024,2,28.68237307,77.06256411,1.76,Luxury,Stormy,Concert,Card,0.595613,0.696363,1.15,60.49,12,0,91.98,712,91.99,0.976661,0.08,Evening Peak,100,91,25,0.3,100,0,Below Average
Hyderabad,27-11-2024,2,17.43371183,78.48450195,3.55,Economy,Stormy,IPL Match,Cash,0.90644,0.685429,1,63.95,8,0,91.9,626,93.13,0.807771,0.04,Afternoon,100,47,15,0.3,100,100,Below Average
Mumbai,20-02-2025,3,19.06971769,72.86369094,19.74,Premium,Rainy,IPL Match,Cash,0.571061,0.639253,1.1,304.57,9,0,90.98,615,91.59,0.892705,0.07,Morning Peak,100,93,25,0.3,100,100,Below Average
Bangalore,27-12-2024,4,12.95920617,77.63457468,2.36,Premium,Rainy,Political Rally,Cash,0.732815,0.516448,1,68.68,2,0,84.45,765,87.01,0.954381,0.07,Evening Peak,100,39,25,0.3,100,60,Below Average
Chennai,23-12-2024,0,13.09425785,80.31203184,6.98,Luxury,Clear,Concert,UPI,0.292707,0.517247,1.34,143.09,3,0,88.47,890,90.43,0.72571,0.05,Afternoon,80,38,15,0.2,100,100,Below Average
Hyderabad,21-11-2024,3,17.39297905,78.47298847,8.71,Economy,Stormy,None,UPI,0.363715,0.74244,1.57,173.31,13,0,94.39,649,94.87,0.957009,0.04,Morning Peak,85,91,10,0.3,100,10,Below Average
Chennai,17-04-2024,2,13.07630863,80.27540107,18.74,Economy,Rainy,Political Rally,UPI,0.557288,0.825993,1.4,330.6,15,0,99,848,96.3,0.770811,0.1,Morning Peak,100,84,25,0.3,100,25,Below Average
Mumbai,03-03-2025,0,19.08066223,72.84344049,4.66,Economy,Stormy,None,Cash,0.237169,0.516025,1.42,136.21,6,0,96.03,940,94.22,0.731092,0.1,Evening Peak,85,42,10,0.3,100,100,Below Average
Chennai,04-07-2024,3,13.12839512,80.24673665,16.05,Premium,Stormy,IPL Match,UPI,0.246517,0.986722,2.11,435.82,10,0,97.67,976,96.57,0.705768,0.06,Morning Peak,100,76,25,0.3,100,100,Below Average
Delhi,28-11-2024,3,28.68304422,77.05631601,10.55,Luxury,Cloudy,Concert,Cash,0.984626,0.760566,1,140.5,16,0,95.39,519,96.77,0.816086,0,Afternoon,80,80,15,0.1,100,0,Above Average
Chennai,22-11-2024,4,13.10123378,80.27294379,13.27,Luxury,Clear,None,Card,0.782891,0.994236,1.32,232.28,10,0,90.02,837,92.41,0.871697,0.02,Afternoon,50,57,0,0.1,100,100,Below Average
Chennai,05-11-2024,1,13.06042883,80.2658683,14.13,Luxury,Cloudy,Concert,UPI,0.650402,0.614522,1,185.43,16,0,97.48,589,97.94,0.936215,0.01,Night,80,64,15,0.1,80.9,100,Below Average
Delhi,30-01-2025,3,28.67208984,77.12134637,15.21,Premium,Clear,IPL Match,UPI,0.412098,0.944513,1.8,336.78,9,0,90.94,902,92.16,0.762485,0.05,Evening Peak,95,80,25,0.1,100,20,Below Average
Delhi,08-06-2024,5,28.73564777,77.11604618,13.01,Luxury,Stormy,Political Rally,UPI,0.530867,0.636592,1.16,191.52,23,1,85.07,714,88.05,0.790237,0.05,Night,100,69,15,0.3,100,55,Below Average
Chennai,30-06-2024,6,13.10131156,80.24254298,0.97,Luxury,Clear,Concert,Cash,0.608657,0.490542,1,40.67,15,1,94.47,904,95.83,0.849761,0.01,Afternoon,80,57,15,0.1,100,0,Below Average
Chennai,19-12-2024,3,13.11029864,80.29071653,6.06,Premium,Stormy,Concert,UPI,0.846632,0.794292,1,96.66,20,0,80.86,938,83.6,0.780733,0.1,Morning Peak,100,97,25,0.3,100,0,Below Average
Chennai,24-12-2024,1,13.10634805,80.31996572,15.08,Economy,Stormy,Concert,UPI,0.606806,0.504581,1,195.88,8,0,84.25,990,88.38,0.985893,0.02,Night,100,79,15,0.3,56.5,0,Below Average
Hyderabad,18-08-2024,6,17.38917944,78.47673973,18.66,Luxury,Stormy,None,Cash,0.263828,0.628418,1.55,309.91,14,1,86.36,718,89.85,0.985414,0.02,Night,70,54,0,0.5,100,55,Below Average
Chennai,29-06-2024,5,13.03908761,80.29557943,8.78,Premium,Clear,Political Rally,Card,0.411724,0.714506,1.45,183.54,4,1,92.72,691,94,0.959597,0.03,Night,80,55,15,0.1,100,100,Below Average
Hyderabad,02-01-2025,3,17.35840149,78.52485402,3.73,Luxury,Rainy,IPL Match,Cash,0.327452,0.569175,1.36,89.18,17,0,93.79,561,94.15,0.779807,0.05,Morning Peak,100,39,25,0.3,100,0,Below Average
Hyderabad,29-05-2024,2,17.3930191,78.51348694,1.1,Premium,Stormy,Festival,Card,0.616954,0.943859,1.49,62.43,16,0,97.27,670,97.79,0.876358,0.01,Evening Peak,100,31,25,0.3,100,100,Below Average
Mumbai,25-10-2024,4,19.03369422,72.88174246,3.82,Premium,Rainy,None,Cash,0.816736,0.982736,1.25,107.3,10,0,99.35,679,98.04,0.923652,0.05,Morning Peak,85,35,10,0.3,100,20,Below Average
Hyderabad,27-05-2024,0,17.41037614,78.47175778,18.03,Economy,Clear,None,Cash,0.321886,0.930228,1.91,371.06,5,0,84.91,732,88.84,0.960495,0.02,Night,50,85,0,0.1,100,100,Below Average
Bangalore,17-03-2025,0,13.01904841,77.56920007,12.56,Premium,Stormy,None,Cash,0.518395,0.987933,1.7,342.18,1,0,81.24,909,85.97,0.733947,0.03,Afternoon,70,83,0,0.5,100,100,Below Average
Hyderabad,19-07-2024,4,17.35490782,78.43850218,15.26,Luxury,Clear,Festival,UPI,0.624271,0.722945,1.15,194.74,10,0,92.13,559,92.09,0.864535,0.08,Evening Peak,95,83,25,0.1,100,0,Below Average
Mumbai,18-06-2024,1,19.05467552,72.8537333,3.68,Luxury,Rainy,None,Cash,0.624424,0.594039,1,84.16,16,0,89.52,757,91.76,0.927308,0.03,Night,70,69,0,0.5,100,70,Below Average
Bangalore,16-03-2025,6,12.95826829,77.62595862,3.96,Economy,Clear,Concert,Card,0.432735,0.899571,1.7,152.12,11,1,89.58,689,90.61,0.758393,0.07,Night,80,75,15,0.1,78.7,0,Below Average
Chennai,15-05-2024,2,13.04688896,80.31953697,6.88,Economy,Clear,None,Card,0.753669,0.498341,1,105.68,19,0,94.91,749,94.64,0.760296,0.06,Evening Peak,65,41,10,0.2,100,100,Below Average
Delhi,07-04-2024,6,28.67777326,77.10435741,19.63,Premium,Clear,None,Card,0.35482,0.791153,1.65,381.64,19,1,97.17,656,97.42,0.888677,0.02,Night,50,87,0,0.1,100,40,Below Average
Delhi,27-03-2024,2,28.66700224,77.10360378,16.4,Premium,Stormy,Festival,Card,0.535055,0.879321,1.52,302.48,20,0,87.49,694,90.04,0.801075,0.04,Afternoon,100,69,15,0.3,100,90,Below Average
Mumbai,30-09-2024,0,19.12434619,72.87354744,19.24,Economy,Rainy,Political Rally,Cash,0.419381,0.773927,1.53,414.45,10,0,84.97,939,89.48,0.707536,0,Afternoon,100,30,15,0.3,0,0,Below Average
Mumbai,14-08-2024,2,19.02655214,72.85207228,17.39,Economy,Stormy,IPL Match,Cash,0.747239,0.698894,1,248.68,14,0,86,849,87.5,0.764447,0.09,Afternoon,100,55,15,0.3,100,100,Below Average
Chennai,30-11-2024,5,13.09975697,80.23463591,4.45,Luxury,Rainy,Festival,Card,0.369585,0.5943,1.34,105.79,11,1,95.73,532,96.11,0.757569,0.03,Morning Peak,100,64,25,0.3,6.6,100,Below Average
Mumbai,22-09-2024,6,19.11959355,72.85893629,14.22,Luxury,Cloudy,IPL Match,Cash,0.444783,0.581041,1.2,252.77,7,1,92.46,776,94.12,0.87257,0.02,Afternoon,80,72,15,0.1,100,45,Below Average
Delhi,18-08-2024,6,28.70621291,77.07558527,8.86,Premium,Stormy,Concert,Card,0.501374,0.582877,1.12,138.43,10,1,96.59,531,95.51,0.962034,0.07,Morning Peak,100,30,25,0.3,100,55,Below Average
Chennai,13-07-2024,5,13.12191191,80.24419055,16.41,Luxury,Cloudy,Festival,UPI,0.923878,0.730239,1,210.51,7,1,81.63,742,86.24,0.912209,0.03,Morning Peak,95,93,25,0.1,100,100,Below Average
Hyderabad,06-08-2024,1,17.43367013,78.50392337,8.91,Premium,Clear,None,Cash,0.816639,0.799256,1,112.19,19,0,83.96,748,87.57,0.887225,0.04,Evening Peak,65,83,10,0.1,100,100,Below Average
Chennai,14-10-2024,0,13.09046258,80.25397197,9.8,Economy,Cloudy,Concert,UPI,0.538443,0.931645,1.59,219.1,19,0,84.98,537,87.69,0.884781,0.06,Evening Peak,95,98,25,0.1,100,100,Below Average
Chennai,25-09-2024,2,13.03565422,80.24170567,9.26,Premium,Clear,Political Rally,Cash,0.472492,0.720981,1.37,180.65,17,0,98.17,804,98.12,0.719185,0.02,Night,80,47,15,0.2,100,0,Below Average
Hyderabad,07-05-2024,1,17.34594957,78.47260567,17.37,Premium,Cloudy,Political Rally,UPI,0.693211,0.428395,1,188.33,1,0,92.81,587,93.17,0.814211,0.06,Afternoon,80,83,15,0.1,100,100,Below Average
Mumbai,24-10-2024,3,19.05115,72.8694874,11.09,Economy,Rainy,None,Card,0.342231,0.772313,1.65,285.58,7,0,98.03,968,98.02,0.850243,0.02,Afternoon,70,89,0,0.5,100,85,Below Average
Mumbai,25-01-2025,5,19.0643858,72.91887419,0.77,Economy,Stormy,None,Card,0.859666,0.664724,1,49.24,19,1,98.15,866,96,0.879586,0.09,Afternoon,70,60,0,0.5,100,80,Below Average
Mumbai,01-05-2024,2,19.0975243,72.85254683,0.83,Economy,Clear,IPL Match,Cash,0.373843,0.92533,1.83,91.43,10,0,83.82,969,87.47,0.886738,0.04,Evening Peak,95,99,25,0.1,100,100,Below Average
Hyderabad,19-06-2024,2,17.39446296,78.51227979,14.71,Economy,Stormy,None,Card,0.726814,0.974328,1.37,225.21,12,0,98.85,899,97.99,0.926356,0.04,Evening Peak,85,61,10,0.3,100,0,Below Average
Delhi,19-04-2024,4,28.72881857,77.09762627,11.05,Premium,Stormy,Political Rally,Cash,0.63012,0.772581,1.21,176.06,7,0,93.86,765,94.5,0.972847,0.04,Morning Peak,100,96,25,0.3,100,60,Below Average
Hyderabad,21-12-2024,5,17.35105814,78.44813904,16.26,Economy,Stormy,IPL Match,Card,0.234359,0.575622,1.51,269.29,6,1,93.12,681,93.98,0.734591,0.04,Afternoon,100,95,15,0.3,100,40,Below Average
Delhi,20-02-2025,3,28.68958049,77.0973356,7.25,Premium,Cloudy,Concert,UPI,0.441422,0.713892,1.41,151.57,5,0,99.13,829,98.79,0.864102,0.02,Night,80,71,15,0.1,100,65,Below Average
Hyderabad,02-06-2024,6,17.36150124,78.53640905,17.22,Luxury,Clear,Political Rally,UPI,0.839211,0.814782,1,186.98,0,1,85.9,787,88.03,0.879118,0.07,Night,80,57,15,0.1,100,100,Below Average
Mumbai,07-10-2024,0,19.10567898,72.86539327,6.02,Economy,Rainy,Political Rally,Card,0.6023,0.432226,1,112.24,13,0,94.35,644,94.84,0.804981,0.04,Morning Peak,100,35,25,0.3,30.1,55,Below Average
Hyderabad,01-06-2024,5,17.36987159,78.51546299,19.87,Luxury,Cloudy,Political Rally,Card,0.714521,0.647449,1,210.83,18,1,83.81,785,88.07,0.926515,0.02,Night,80,92,15,0.1,100,100,Below Average
Bangalore,24-12-2024,1,12.9645211,77.64071312,9.95,Economy,Stormy,Concert,Card,0.912587,0.865366,1,167.35,19,0,84.7,609,86.59,0.978838,0.09,Morning Peak,100,71,25,0.3,100,100,Below Average
Chennai,13-02-2025,3,13.1204583,80.27832561,13.71,Premium,Clear,IPL Match,UPI,0.523666,0.672192,1.22,220.59,8,0,99.62,959,99.43,0.744936,0.01,Morning Peak,95,73,25,0.1,100,100,Below Average
Bangalore,04-10-2024,4,12.99027974,77.63413545,17.19,Luxury,Rainy,None,UPI,0.37655,0.542192,1.25,326.84,1,0,92.88,967,93.22,0.927726,0.06,Evening Peak,85,97,10,0.3,100,100,Below Average
Hyderabad,28-05-2024,1,17.41032296,78.49357658,13.21,Premium,Stormy,None,UPI,0.716332,0.905914,1.28,193.14,20,0,89.31,775,89.82,0.988447,0.09,Morning Peak,85,48,10,0.3,87.9,45,Below Average
Delhi,03-09-2024,1,28.7431418,77.12382044,6.28,Economy,Rainy,IPL Match,Card,0.739858,0.86623,1.19,116.38,15,0,97.33,507,97.53,0.831215,0.02,Morning Peak,100,70,25,0.3,82.2,100,Below Average
Mumbai,07-01-2025,1,19.10983947,72.84146892,10.88,Premium,Stormy,IPL Match,UPI,0.398331,0.751213,1.53,260.96,12,0,96.39,956,97.47,0.704096,0,Morning Peak,100,96,25,0.3,100,5,Above Average
Bangalore,14-07-2024,6,12.97846063,77.55309203,4.93,Economy,Clear,None,UPI,0.669203,0.724414,1.08,110.26,18,1,90.42,708,91.79,0.738059,0.05,Evening Peak,65,74,10,0.1,100,100,Below Average
Delhi,24-08-2024,5,28.6905292,77.10427862,6.23,Economy,Rainy,Festival,Card,0.360087,0.993338,1.95,189.74,8,1,95.61,848,95.43,0.905568,0.05,Morning Peak,100,35,25,0.3,100,100,Below Average
Chennai,11-01-2025,5,13.06945479,80.30764594,15.67,Luxury,Clear,Political Rally,UPI,0.841036,0.949778,1.16,234.75,20,1,81.44,941,86.41,0.963152,0.02,Night,80,92,15,0.1,100,55,Below Average
Mumbai,26-11-2024,1,19.05565809,72.87690828,9.45,Luxury,Cloudy,Political Rally,Cash,0.778313,0.467562,1,153.4,20,0,89.37,991,89.86,0.76419,0.09,Morning Peak,95,69,25,0.1,100,0,Below Average
Bangalore,18-10-2024,4,12.9219443,77.58821865,17.25,Luxury,Cloudy,Concert,Card,0.546096,0.604022,1.09,285.85,21,0,90.92,721,91.84,0.880177,0.06,Morning Peak,95,63,25,0.1,100,5,Below Average
Delhi,28-08-2024,2,28.68828727,77.05716253,3.97,Premium,Clear,Concert,Cash,0.260884,0.622405,1.54,115.04,5,0,97.61,542,98.03,0.821947,0.01,Morning Peak,95,86,25,0.1,100,100,Below Average
Hyderabad,09-03-2025,6,17.37434455,78.46054079,2.86,Luxury,Clear,Festival,Card,0.588592,0.622645,1.05,60.63,13,1,90.78,724,92.35,0.856527,0.04,Afternoon,80,97,15,0.1,100,100,Below Average
Mumbai,21-10-2024,0,19.02989961,72.89134992,13.37,Premium,Clear,Political Rally,UPI,0.332121,0.496857,1.25,250.55,13,0,96.17,729,95.22,0.91754,0.07,Evening Peak,95,53,25,0.1,100,50,Below Average
Delhi,19-09-2024,3,28.72275028,77.10037152,13.17,Economy,Stormy,Political Rally,Card,0.200887,0.430959,1.35,225.04,12,0,80.68,742,84.98,0.985136,0.05,Morning Peak,100,44,25,0.3,100,0,Below Average
Bangalore,12-07-2024,4,12.92249077,77.55309788,3.09,Economy,Cloudy,IPL Match,UPI,0.577775,0.556063,1,78.17,20,0,96.89,523,95.42,0.732812,0.08,Afternoon,80,79,15,0.1,100,0,Below Average
Chennai,15-01-2025,2,13.10162821,80.26574911,16.24,Economy,Stormy,Festival,UPI,0.718088,0.56689,1,208.64,2,0,86.75,987,89.82,0.748526,0.03,Evening Peak,100,57,25,0.3,100,0,Below Average
Chennai,20-03-2025,3,13.09046057,80.32068344,3.91,Luxury,Stormy,Concert,UPI,0.79273,0.617582,1,73.01,12,0,90.06,553,92.14,0.943422,0.03,Afternoon,100,87,15,0.3,100,100,Below Average
Mumbai,17-11-2024,6,19.0355496,72.90781858,18.02,Premium,Cloudy,Political Rally,Cash,0.252258,0.997974,2.12,543.23,23,1,91.23,601,93.26,0.914418,0.02,Afternoon,80,52,15,0.1,100,60,Below Average
Bangalore,06-02-2025,3,12.95499068,77.6354109,15.23,Premium,Clear,Concert,Cash,0.896859,0.924496,1.04,245.43,0,0,80.16,570,84.91,0.848579,0.04,Morning Peak,95,73,25,0.1,100,70,Below Average
Mumbai,08-08-2024,3,19.05746884,72.82983087,14.51,Economy,Cloudy,Political Rally,Cash,0.910634,0.667517,1,214.12,11,0,93.92,868,95.44,0.848718,0.01,Morning Peak,95,72,25,0.1,100,60,Below Average
Delhi,10-10-2024,3,28.68118665,77.11175093,2.94,Luxury,Stormy,Festival,UPI,0.936749,0.87796,1,64.4,12,0,82.18,983,86.93,0.883433,0.02,Evening Peak,100,89,25,0.3,100,70,Below Average
Delhi,13-06-2024,3,28.68336334,77.05332596,4.14,Premium,Rainy,None,UPI,0.524743,0.609249,1.13,86.33,3,0,80.9,511,84.53,0.931889,0.07,Night,70,40,0,0.5,100,100,Below Average
Bangalore,28-05-2024,1,12.94741392,77.56109915,0.52,Luxury,Clear,None,Card,0.422522,0.669812,1.37,61.32,13,0,89.13,526,92.09,0.98126,0.01,Evening Peak,65,71,10,0.1,100,100,Below Average
Delhi,07-12-2024,5,28.67943089,77.14320918,11.75,Premium,Rainy,None,UPI,0.698949,0.542654,1,152.5,5,1,81.24,813,86.57,0.862477,0.01,Afternoon,70,42,0,0.5,100,100,Below Average
Chennai,08-09-2024,6,13.06098815,80.28421502,16.23,Luxury,Cloudy,Festival,UPI,0.805392,0.909948,1.16,241.89,21,1,96.16,659,94.91,0.973586,0.08,Morning Peak,95,57,25,0.1,100,100,Below Average
Delhi,02-06-2024,6,28.68229349,77.10210998,5.95,Luxury,Clear,IPL Match,UPI,0.666668,0.756276,1.13,106.78,20,1,83.01,719,87.21,0.859736,0.03,Morning Peak,95,58,25,0.1,100,5,Below Average
Delhi,22-03-2025,5,28.66080085,77.11008793,4.92,Luxury,Stormy,Festival,UPI,0.286743,0.607307,1.48,124.62,11,1,80.56,998,84.89,0.960944,0.05,Night,100,70,15,0.3,100,0,Below Average
Delhi,09-02-2025,6,28.6694124,77.12778743,8.16,Economy,Clear,Concert,Cash,0.591501,0.488315,1,116.6,4,1,86.23,743,88.56,0.922725,0.06,Evening Peak,95,67,25,0.1,100,100,Below Average
